month_activated,control_users,test_users
2013-01-01 00:00:00,24,13
2013-02-01 00:00:00,27,20
2013-03-01 00:00:00,15,32
2013-04-01 00:00:00,28,27
2013-05-01 00:00:00,15,30
2013-06-01 00:00:00,22,19
2013-07-01 00:00:00,32,32
2013-08-01 00:00:00,41,38
2013-09-01 00:00:00,37,45
2013-10-01 00:00:00,46,45
2013-11-01 00:00:00,49,39
2013-12-01 00:00:00,49,57
2014-01-01 00:00:00,68,52
2014-02-01 00:00:00,75,51
2014-03-01 00:00:00,81,60
2014-04-01 00:00:00,82,86
2014-05-01 00:00:00,182,203
2014-06-01 00:00:00,873,0
